vendor,score,recency_h,recent_changes,hv_changes,total_changes,hash_ratio,has_pack
adyen.com,100,7,23,19,31,0.065,1
algolia.com,75,7,7,7,15,0.133,1
google.com,37,103,0,4,8,0.75,1
newrelic.com,37,103,0,4,8,0.75,1
duo.com,35,103,0,4,8,0.625,1
stripe.com,35,103,0,4,8,0.625,1
box.com,30,103,0,4,8,0.375,1
checkout.com,30,103,0,4,8,0.375,1
helpscout.com,30,103,0,5,8,0.25,1
mailgun.com,30,103,0,4,8,0.375,1
gitlab.com,28,103,0,4,7,0.286,1
atlassian.com,27,103,0,4,8,0.25,1
aws.amazon.com,27,103,0,4,8,0.25,1
braintreepayments.com,27,103,0,4,8,0.25,1
canva.com,27,103,0,4,8,0.25,1
chargebee.com,27,103,0,4,8,0.25,1
cloudflare.com,27,103,0,4,8,0.25,1
confluent.io,27,103,0,4,8,0.25,1
contentful.com,27,103,0,4,8,0.25,1
domain,27,103,0,4,8,0.25,1
dropbox.com,27,103,0,4,8,0.25,1
elastic.co,27,103,0,4,8,0.25,1
fastly.com,27,103,0,4,8,0.25,1
figma.com,27,103,0,4,8,0.25,1
freshworks.com,27,103,0,4,8,0.25,1
globex.com,27,103,0,4,8,0.25,1
heroku.com,27,103,0,4,8,0.25,1
hubspot.com,27,103,0,4,8,0.25,1
intercom.com,27,103,0,4,8,0.25,1
linear.app,27,103,0,4,8,0.25,1
microsoft.com,27,103,0,4,8,0.25,1
mongodb.com,27,103,0,4,8,0.25,1
netlify.com,27,103,0,4,8,0.25,1
notion.so,27,103,0,4,8,0.25,1
okta.com,27,103,0,4,8,0.25,1
onelogin.com,27,103,0,4,8,0.25,1
paddle.com,27,103,0,4,8,0.25,1
recurly.com,27,103,0,4,8,0.25,1
salesforce.com,27,103,0,4,8,0.25,1
sanity.io,27,103,0,4,8,0.25,1
sentry.io,27,103,0,4,8,0.25,1
snowflake.com,27,103,0,4,8,0.25,1
twilio.com,27,103,0,4,8,0.25,1
vercel.com,27,103,0,4,8,0.25,1
zendesk.com,27,103,0,4,8,0.25,1
zoho.com,27,103,0,4,8,0.25,1
bitbucket.org,26,103,0,3,6,0.333,1
github.com,26,103,0,2,3,1,0
monday.com,26,103,0,2,2,1,0
status.asana.com,26,103,0,2,2,1,0
status.atlassian.com,26,103,0,2,2,1,0
status.box.com,26,103,0,2,2,1,0
